segmento;familia;classe;cod_sku;sku_descricao;fornecedor;cultura;N;P;K
Fertilizantes ;Matérias primas ;Nitrogenados;242825;SAM GR;Geral;TRIGO;20;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;242825;SAM GR;Geral;CANOLA;20;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243153;UREIA GR;Geral;MILHO;46;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243153;UREIA GR;Geral;TRIGO;46;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243153;UREIA GR;Geral;CANOLA;46;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243153;UREIA GR;Geral;ARROZ;46;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243154;UREIA GR NBPT;Geral;MILHO;46;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243154;UREIA GR NBPT;Geral;TRIGO;46;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243154;UREIA GR NBPT;Geral;CANOLA;46;0;0
Fertilizantes ;Matérias primas ;Nitrogenados;243154;UREIA GR NBPT;Geral;ARROZ;46;0;0
Fertilizantes ;Matérias primas ;Fosfatados;243148;MAP GR;Geral;SOJA;11;52;0
Fertilizantes ;Matérias primas ;Fosfatados;243148;MAP GR;Geral;MILHO;11;52;0
Fertilizantes ;Matérias primas ;Fosfatados;243148;MAP GR;Geral;TRIGO;11;52;0
Fertilizantes ;Matérias primas ;Fosfatados;243148;MAP GR;Geral;CANOLA;11;52;0
Fertilizantes ;Matérias primas ;Fosfatados;243148;MAP GR;Geral;ARROZ;11;52;0
Fertilizantes ;Matérias primas ;Fosfatados;243144;DAP GR;Geral;MILHO;18;46;0
Fertilizantes ;Matérias primas ;Fosfatados;243144;DAP GR;Geral;TRIGO;18;46;0
Fertilizantes ;Matérias primas ;Fosfatados;243144;DAP GR;Geral;CANOLA;18;46;0
Fertilizantes ;Matérias primas ;Fosfatados;246294;SSP GR;Geral;SOJA;0;20;0
Fertilizantes ;Matérias primas ;Fosfatados;243150;TSP GR;Geral;SOJA;0;45;0
Fertilizantes ;Matérias primas ;Fosfatados;243150;TSP GR;Geral;ARROZ;0;45;0
Fertilizantes ;Matérias primas ;Potássicos;242703;KLC GR;Geral;SOJA;0;0;60
Fertilizantes ;Matérias primas ;Potássicos;242703;KLC GR;Geral;MILHO;0;0;60
Fertilizantes ;Matérias primas ;Potássicos;242703;KLC GR;Geral;TRIGO;0;0;60
Fertilizantes ;Matérias primas ;Potássicos;242703;KLC GR;Geral;CANOLA;0;0;60
Fertilizantes ;Matérias primas ;Potássicos;242703;KLC GR;Geral;ARROZ;0;0;60
Fertilizantes ;Formulados;Tradicional;243026;02 20 20 C/OLEO;Geral;SOJA;02; 20;20
Fertilizantes ;Formulados;Tradicional;243032;02 20 30 C/OLEO;Geral;SOJA;02; 20;30
Fertilizantes ;Formulados;Tradicional;243036;02 23 23 C/OLEO;Geral;SOJA;02; 23;23
Fertilizantes ;Formulados;Tradicional;243054;02 30 15 C/OLEO;Geral;SOJA;02; 30;15
Fertilizantes ;Formulados;Tradicional;243059;04 17 27 C/OLEO;Geral;SOJA;04; 17;27
Fertilizantes ;Formulados;Tradicional;243059;04 17 27 C/OLEO;Geral;ARROZ;04; 17;27
Fertilizantes ;Formulados;Tradicional;244521;04 30 10 C/OLEO;Geral;SOJA;04; 30;10
Fertilizantes ;Formulados;Tradicional;243075;05 20 20 C/OLEO;Geral;SOJA;05; 20;20
Fertilizantes ;Formulados;Tradicional;243075;05 20 20 C/OLEO;Geral;MILHO;05; 20;20
Fertilizantes ;Formulados;Tradicional;243075;05 20 20 C/OLEO;Geral;TRIGO;05; 20;20
Fertilizantes ;Formulados;Tradicional;243075;05 20 20 C/OLEO;Geral;CANOLA;05; 20;20
Fertilizantes ;Formulados;Tradicional;243079;05 20 30 C/OLEO;Geral;SOJA;05; 20;30
Fertilizantes ;Formulados;Tradicional;243079;05 20 30 C/OLEO;Geral;ARROZ;05; 20;30
Fertilizantes ;Formulados;Tradicional;243082;05 25 25 C/OLEO;Geral;SOJA;05; 25;25
Fertilizantes ;Formulados;Tradicional;243082;05 25 25 C/OLEO;Geral;MILHO;05; 25;25
